id,sample,period,temp,nitrate,rep,model,Var2,r,K,s,NA,tiempo en dias desde el inicio del exp,,,numero de GR,
31 5 3 42,31 5 3,37,31,5,3,mexp.22,Estimate,0.401884929,NA,-4.618899292,NA,111,,,,
31 5 3 43,31 5 3,38,31,5,3,mexp.22,Estimate,0.209570378,NA,-19.662184,NA,114,,,,
31 5 3 44,31 5 3,39,31,5,3,mexp.22,Estimate,0.435752217,NA,-16.23552507,NA,117,,,,
31 5 3 45,31 5 3,40,31,5,3,mexp.22,Estimate,0.373606667,NA,-4.348185529,NA,120,,,,
31 5 3 46,31 5 3,41,31,5,3,mexp.22,Estimate,0.806802189,NA,-6.108810639,NA,123,,,,
31 5 3 47,31 5 3,42,31,5,3,mexp.22,Estimate,0.427335653,NA,-5.345417813,NA,126,,,,
31 5 3 48,31 5 3,43,31,5,3,mexp.22,Estimate,0.826272506,NA,-5.607045286,NA,129,,,,
31 5 3 49,31 5 3,44,31,5,3,mexp.22,Estimate,0.480835873,NA,-4.396969906,NA,132,,,,
31 5 3 5,31 5 3,45,31,5,3,mexp.22,Estimate,0.518478629,NA,-5.844326283,NA,135,,,,
31 5 3 50,31 5 3,46,31,5,3,mexp.22,Estimate,0.498822046,NA,-5.821539556,NA,138,,,,
31 5 3 51,31 5 3,47,31,5,3,mexp.22,Estimate,0.408335429,NA,-5.332667682,NA,141,,,,
31 5 3 52,31 5 3,48,31,5,3,mexp.22,Estimate,0.728388144,NA,-6.398110677,NA,144,,,,
31 5 3 53,31 5 3,49,31,5,3,mexp.22,Estimate,0.34022597,NA,-5.298671725,NA,147,,,,
31 5 3 54,31 5 3,50,31,5,3,mexp.22,Estimate,0.494872126,NA,-5.651031828,NA,150,,,,
31 5 3 55,31 5 3,51,31,5,3,mexp.22,Estimate,0.343388124,NA,-6.114941117,NA,153,,,,
31 5 3 56,31 5 3,52,31,5,3,mexp.22,Estimate,0.438891659,NA,-5.385305475,NA,156,,,,
31 5 3 57,31 5 3,53,31,5,3,mexp.22,Estimate,0.465543242,NA,-5.391836232,NA,159,,,,
31 5 3 58,31 5 3,54,31,5,3,mexp.22,Estimate,0.603579361,NA,-6.034101535,NA,162,,,,
31 5 3 59,31 5 3,55,31,5,3,mexp.22,Estimate,0.494910946,NA,-16.07882112,NA,165,,,,
31 5 3 6,31 5 3,56,31,5,3,mexp.22,Estimate,0.482593618,NA,-5.768446848,NA,168,,,,
31 5 3 60,31 5 3,57,31,5,3,mexp.22,Estimate,1.812425417,NA,-19.17071861,NA,171,,,,
31 5 3 61,31 5 3,58,31,5,3,mexp.22,Estimate,0.925976735,NA,-5.512490692,NA,174,,,,
31 5 3 62,31 5 3,59,31,5,3,mexp.22,Estimate,0.780690113,NA,-16.12153328,NA,177,,,,
31 5 3 63,31 5 3,60,31,5,3,mexp.22,Estimate,0.452348897,NA,-7.83117504,NA,180,,,,
31 5 3 64,31 5 3,61,31,5,3,mexp.22,Estimate,0.222897147,NA,-18.71712512,NA,183,,,,
31 5 3 65,31 5 3,62,31,5,3,mexp.22,Estimate,0.328672402,NA,-16.37446541,NA,186,,,,
31 5 3 66,31 5 3,63,31,5,3,mexp.22,Estimate,0.263314733,NA,-19.34636045,NA,189,,,,
31 5 3 67,31 5 3,64,31,5,3,mexp.22,Estimate,0.246153997,NA,-5.888885378,NA,192,,,,
31 5 3 68,31 5 3,65,31,5,3,mexp.22,Estimate,0.655751855,NA,-5.419530533,NA,195,,,,
31 5 3 69,31 5 3,66,31,5,3,mexp.22,Estimate,0.39100142,NA,-4.689389272,NA,198,,,,
31 5 3 7,31 5 3,67,31,5,3,mexp.22,Estimate,0.687196933,NA,-6.388970173,NA,201,,,,
31 5 3 70,31 5 3,68,31,5,3,mexp.22,Estimate,1.991709505,NA,-6.526873995,NA,204,,,,
