sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_L1;05/02/2016 09:40;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_L1;05/02/2016 09:40;L1-4;34;L1;ANCESTRAL;0.023;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_5;05/02/2016 09:40;5-1;34;L1;ANCESTRAL;0.004;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_5;05/02/2016 09:40;5-2;34;L1;ANCESTRAL;0.002;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_5;05/02/2016 09:40;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_02/05/2016 9:40:00_40mlFlasks_34_5;05/02/2016 09:40;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-4;34;L1;ANCESTRAL;0.016;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-1;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_L1;05/03/2016 08:30;L1-4;34;L1;ANCESTRAL;0.016;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-1;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_03/05/2016 8:30:00_40mlFlasks_34_5;05/03/2016 08:30;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-1;34;L1;ANCESTRAL;0.012;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_L1;05/04/2016 08:45;L1-4;34;L1;ANCESTRAL;0.021;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-1;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_04/05/2016 8:45:00_40mlFlasks_34_5;05/04/2016 08:45;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-1;34;L1;ANCESTRAL;0.014;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_L1;05/05/2016 08:45;L1-4;34;L1;ANCESTRAL;0.024;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_05/05/2016 8:45:00_40mlFlasks_34_5;05/05/2016 08:45;5-4;34;L1;ANCESTRAL;0.001;;
